Villes,statut
Odemira+Portugal,traité (2026-08-11 07:10)
Covilhã+Portugal,traité (2026-08-11 07:47)
Seixal+Portugal,traité (2026-08-11 07:48)
Santa Cruz da Graciosa+Portugal,traité (2026-08-11 07:51)
Ribeira de Pena+Portugal,traité (2026-08-11 07:54)
Silves+Portugal,traité (2026-08-11 07:59)
Cinfães+Portugal,traité (2026-08-11 08:03)
Penalva do Castelo+Portugal,traité (2026-08-11 08:07)
Oeiras+Portugal,traité (2026-08-11 08:11)
Odivelas+Portugal,
Sines+Portugal,
Braga+Portugal,
Aveiro+Portugal,
Bragança+Portugal,
Alcochete+Portugal,
Torres Vedras+Portugal,
Moimenta da Beira+Portugal,
Murtosa+Portugal,
Figueira de Castelo Rodrigo+Portugal,
Vila Nova de Gaia+Portugal,
Guimarães+Portugal,
Estarreja+Portugal,
Velas+Portugal,
Penela+Portugal,
Alcácer do Sal+Portugal,
Entroncamento+Portugal,
Castro daire+Portugal,
São João da Pesqueira+Portugal,
Castelo de Vide+Portugal,
Portalegre+Portugal,
Abrantes+Portugal,
Porto de Mós+Portugal,
Ourique+Portugal,
São Vicente+Portugal,
Amadora+Portugal,
Albufeira+Portugal,
Guarda+Portugal,
Fronteira+Portugal,
Maia+Portugal,
Vila Nova de Cerveira+Portugal,
Tarouca+Portugal,
Vila Nova de Paiva+Portugal,
Alandroal+Portugal,
Estremoz+Portugal,
Crato+Portugal,
Marvão+Portugal,
Paredes de Coura+Portugal,
Matosinhos+Portugal,
Póvoa de Varzim+Portugal,
Santa Cruz+Portugal,
Arruda dos Vinhos+Portugal,
Boticas+Portugal,
Peso da Régua+Portugal,
Portimão+Portugal,
Vila Pouca de Aguiar+Portugal,
Amarante+Portugal,
Paredes+Portugal,
Vila do Conde+Portugal,
Santa Cruz das Flores+Portugal,
Beja+Portugal,
Celorico de Basto+Portugal,
Gouveia+Portugal,
Sátão+Portugal,
Sintra+Portugal,
Lousada+Portugal,
Sabugal+Portugal,
Ribeira Brava+Portugal,
Benavente+Portugal,
Figueiró dos Vinhos+Portugal,
Fafe+Portugal,
Castelo Branco+Portugal,
Idanha-a-Nova+Portugal,
Penamacor+Portugal,
Miranda do Corvo+Portugal,
Vila Viçosa+Portugal,
Lagos+Portugal,
Sernancelhe+Portugal,
Valença+Portugal,
Ansião+Portugal,
Funchal+Portugal,
Pedrógão Grande+Portugal,
Esposende+Portugal,
Albergaria-a-Velha+Portugal,
Oleiros+Portugal,
Sesimbra+Portugal,
Vila Velha de Ródão+Portugal,
Arraiolos+Portugal,
Ferreira do Zêzere+Portugal,
Armamar+Portugal,
Elvas+Portugal,
Arcos de Valdevez+Portugal,
Chamusca+Portugal,
Óbidos+Portugal,
Carrazeda de Ansiães+Portugal,
Mogadouro+Portugal,
Santiago do Cacém+Portugal,
Vila do Porto+Portugal,
Nordeste+Portugal,
Cantanhede+Portugal,
Tábua+Portugal,
Vagos+Portugal,
Montemor-o-Novo+Portugal,
Ponte de Sor+Portugal,
Alcanena+Portugal,
Águeda+Portugal,
Ílhavo+Portugal,
Mortágua+Portugal,
Celorico da Beira+Portugal,
Santo Tirso+Portugal,
Almeirim+Portugal,
Moura+Portugal,
Proença-a-Nova+Portugal,
Moita+Portugal,
Vila Franca do Campo+Portugal,
Angra do Heroísmo+Portugal,
Torres Novas+Portugal,
Porto Moniz+Portugal,
Machico+Portugal,
Alpiarça+Portugal,
Vila Nova de Famalicão+Portugal,
Vinhais+Portugal,
Tabuaço+Portugal,
Viseu+Portugal,
Mafra+Portugal,
Nisa+Portugal,
Monção+Portugal,
Manteigas+Portugal,
Alvaiázere+Portugal,
Batalha+Portugal,
Porto+Portugal,
Valongo+Portugal,
Trofa+Portugal,
Ponta do Sol+Portugal,
Barcelos+Portugal,
Espinho+Portugal,
Santa Maria da Feira+Portugal,
Vila de Rei+Portugal,
Campo Maior+Portugal,
Ponte de Lima+Portugal,
Tondela+Portugal,
Condeixa-a-Nova+Portugal,
Figueira da Foz+Portugal,
Ourém+Portugal,
Reguengos de Monsaraz+Portugal,
Vendas Novas+Portugal,
Loulé+Portugal,
Lamego+Portugal,
Avis+Portugal,
Barrancos+Portugal,
Vieira do Minho+Portugal,
Vizela+Portugal,
Macedo de Cavaleiros+Portugal,
Vila Flor+Portugal,
Chaves+Portugal,
Sobral de Monte Agraço+Portugal,
Viana do Alentejo+Portugal,
Tavira+Portugal,
Gondomar+Portugal,
